START TIME:2022-08-22 22:19:30
REPEAT,TIME(sec),VOLTAGE(V),CURRENT(A)
2,3.255015e+00, 0.00000e+00, -6.53267e-11
2,3.275065e+00, 2.00000e-02, 4.80413e-11
2,3.295115e+00, 4.00000e-02, 1.18732e-10
2,3.315165e+00, 6.00000e-02, 1.97172e-10
2,3.335215e+00, 8.00000e-02, 2.63929e-10
2,3.355255e+00, 1.00000e-01, 3.57509e-10
2,3.375305e+00, 1.20000e-01, 4.38571e-10
2,3.395355e+00, 1.40000e-01, 5.20587e-10
2,3.415405e+00, 1.60000e-01, 6.25134e-10
2,3.435455e+00, 1.80000e-01, 7.25508e-10
2,3.455505e+00, 2.00000e-01, 8.23021e-10
2,3.476055e+00, 2.20000e-01, 9.23991e-10
2,3.496105e+00, 2.40000e-01, 1.04630e-09
2,3.516155e+00, 2.60000e-01, 1.13463e-09
2,3.536195e+00, 2.80000e-01, 1.25349e-09
2,3.556245e+00, 3.00000e-01, 1.39403e-09
2,3.576295e+00, 3.20000e-01, 1.52540e-09
2,3.596345e+00, 3.40000e-01, 1.67263e-09
2,3.616395e+00, 3.60000e-01, 1.82366e-09
2,3.636445e+00, 3.80000e-01, 1.94371e-09
2,3.656485e+00, 4.00000e-01, 2.11859e-09
2,3.676535e+00, 4.20000e-01, 2.24304e-09
2,3.696585e+00, 4.40000e-01, 2.42817e-09
2,3.716635e+00, 4.60000e-01, 2.58887e-09
2,3.736685e+00, 4.80000e-01, 2.77889e-09
2,3.756735e+00, 5.00000e-01, 3.00372e-09
2,3.776785e+00, 5.20000e-01, 3.27814e-09
2,3.796835e+00, 5.40000e-01, 3.51727e-09
2,3.816875e+00, 5.60000e-01, 3.68714e-09
2,3.836925e+00, 5.80000e-01, 4.03976e-09
2,3.856975e+00, 6.00000e-01, 4.44603e-09
2,3.877025e+00, 6.20000e-01, 4.81200e-09
2,3.897075e+00, 6.40000e-01, 5.13649e-09
2,3.917125e+00, 6.60000e-01, 5.57256e-09
2,3.937165e+00, 6.80000e-01, 5.85926e-09
2,3.957215e+00, 7.00000e-01, 6.48439e-09
2,3.977265e+00, 7.20000e-01, 7.02190e-09
2,3.997315e+00, 7.40000e-01, 7.25710e-09
2,4.017365e+00, 7.60000e-01, 7.80714e-09
2,4.037405e+00, 7.80000e-01, 8.14486e-09
2,4.057455e+00, 8.00000e-01, 9.10616e-09
2,4.077505e+00, 8.20000e-01, 9.47654e-09
2,4.097555e+00, 8.40000e-01, 1.03040e-08
2,4.117605e+00, 8.60000e-01, 1.10723e-08
2,4.137655e+00, 8.80000e-01, 1.15111e-08
2,4.157705e+00, 9.00000e-01, 1.27317e-08
2,4.177745e+00, 9.20000e-01, 1.38433e-08
2,4.197795e+00, 9.40000e-01, 1.48141e-08
2,4.217845e+00, 9.60000e-01, 1.61679e-08
2,4.237895e+00, 9.80000e-01, 1.78581e-08
2,4.257945e+00, 1.00000e+00, 1.89683e-08
3,4.447510e+00, -1.06000e+00, -1.56989e-08
3,4.467558e+00, -1.04000e+00, -1.35198e-08
3,4.487607e+00, -1.02000e+00, -1.34096e-08
3,4.507655e+00, -1.00000e+00, -1.24912e-08
3,4.527704e+00, -9.80000e-01, -1.21176e-08
3,4.547752e+00, -9.60000e-01, -1.13795e-08
3,4.567801e+00, -9.40000e-01, -1.12287e-08
3,4.587849e+00, -9.20000e-01, -1.05540e-08
3,4.607898e+00, -9.00000e-01, -9.94456e-09
3,4.627946e+00, -8.80000e-01, -9.65965e-09
3,4.647994e+00, -8.60000e-01, -9.23336e-09
3,4.668043e+00, -8.40000e-01, -8.76296e-09
3,4.688092e+00, -8.20000e-01, -8.36611e-09
3,4.708140e+00, -8.00000e-01, -7.29060e-09
3,4.728188e+00, -7.80000e-01, -7.23767e-09
3,4.748237e+00, -7.60000e-01, -6.96301e-09
3,4.768285e+00, -7.40000e-01, -6.73723e-09
3,4.788333e+00, -7.20000e-01, -6.34456e-09
3,4.808386e+00, -7.00000e-01, -5.97477e-09
3,4.828434e+00, -6.80000e-01, -5.50187e-09
3,4.848483e+00, -6.60000e-01, -5.23877e-09
3,4.868531e+00, -6.40000e-01, -5.02181e-09
3,4.888580e+00, -6.20000e-01, -4.70662e-09
3,4.908628e+00, -6.00000e-01, -4.28665e-09
3,4.928677e+00, -5.80000e-01, -4.18913e-09
3,4.948725e+00, -5.60000e-01, -4.09067e-09
3,4.968773e+00, -5.40000e-01, -3.73232e-09
3,4.988822e+00, -5.20000e-01, -3.37172e-09
3,5.008870e+00, -5.00000e-01, -3.18873e-09
3,5.028919e+00, -4.80000e-01, -3.08216e-09
3,5.048967e+00, -4.60000e-01, -2.85065e-09
3,5.069015e+00, -4.40000e-01, -2.63846e-09
3,5.089064e+00, -4.20000e-01, -2.45023e-09
